 DBN,frequency,Block type,Status,BNL shipment,Shipped on,Comment,Prototype,Fiber type,Fiber batch,Filling time (h),FF date,Filled by,Checked by,W powder,W bucket number,Mold number,Empty mold (g),Filled mold (g),W filling mass (g),fibers loaded by,W filling date,W filled by,Epoxy batch,Resin mass (g),Hardener mass (g),potting notes,Epoxy filling time (min),Epoxy filling date,Epoxy preparer,Delta Mach-Pot,Machining or potting date,Machined by,L (in),BT (in),BB (in),BH (in),ST (in),SB (in),SH (in),Volume (mL),Measured by,Mass (g),Measured by,Density (g/ml),Tested on,# Fibers N,Good end,ABS N-W (%),LT,10-15(%),15-50(%),50-75(%),r75 (%),R,Tower 1,Tower 2,Tower 3,Tower 4, missing row?,13 connected holes?,FOM_N,FOM_I,Tested by,Tested on,Scintillation (mV),Calibration (mV),Scintillation ratio,Tested by,Tested on,Natural Pictures,Tested by,Retouch,Density Result Checked?,Light Checked?,Natural Pictures checked?,Sector ID (SSCR),LT M/D/YYYY,Days Mach-LT,Scint M/D/YYYY,Final Block Grade,Dens grade,Dim grade,LT grade,Tower grade,Vi,Scint grade,Pic,X,LT-all,DBN,S-left,S-right,column,row,relative W weight,Δ(L) [mm],Δ(BT) [mm],Δ(BB) [mm],Δ(BH) [mm],Δ(ST) [mm],Δ(SB) [mm],Δ(SH) [mm]
F46,,23,,,11/28/2020,,,I-K,,,,,,HS,,,,,,,,,,,,,,8/1/2020,,,8/1/2020,,,,,,,,,,,0,,9.38,,2666,,,99.93,,,,,,103,97.6,103,96.55,,,,,,,,,1.050,,,,,,,,,16B23,,,,5a,5aa,5a,5aa,5a,,5aa,,,,F46,1,6,B,23,,0,0.02,0.37,0.43,0.06,0.5,-0.21
F47,2,23,fudan,,9/1/2020,UIUC tested,Sector 1-12,K,,,,,,HS,,,,,,,,,,,,,,8/20/2020,,,8/20/2020,,,,,,,,,,AW,0,AW,9.47,20200930,2666,,,99.93,,,,,,99.85,100,99.85,100,,,,,,,,,1.822,,,,,,,,,13B23,,,,5aa,5aa,5aa,5aa,5aa,,,FALSE,FALSE,5a,F47,1,3,B,23,,-0.03,-0.09,0.2,-0.05,-0.08,0.17,-0.1
F48,1,24,fudan,,9/1/2020,UIUC tested,Sector 1-12,K,,,,,,HS,,,,,,,,,,,,,,8/20/2020,,,8/20/2020,,,,,,,,,,AW,0,AW,9.39,20200930,2661,,,99.74,,,,,,99.55,100.75,99.25,99.4,,,,,,,,,1.513,,,,,,,,,13A24,,,,5aa,5aa,5aa,5aa,5aa,,,FALSE,FALSE,5a,F48,1,3,A,24,,-0.02,-0.11,0.18,-0.01,-0.16,0.22,0
F49,2,24,fudan,,9/1/2020,UIUC tested,Sector 1-12,K,,,,,,HS,,,,,,,,,,,,,,8/20/2020,,,8/20/2020,,,,,,,,,,AW,0,AW,9.39,20200930,2665,,,99.89,,,,,,101.5,98.5,100.75,98.8,,,,,,,,,1.536,,,,,,,,,13C24,,,,5aa,5aa,5aa,5aa,5aa,,,FALSE,FALSE,5a,F49,1,3,C,24,,-0.03,-0.15,0.22,0.03,-0.07,0.25,0.08
F50,,22,,,11/28/2020,,,K,,,,,,HS,,,,,,,,,,,,,,8/20/2020,,,8/20/2020,,,,,,,,,,,0,,9.81,,2665,,,99.89,,,,,,100.3,99.85,100,99.4,,,,,,,,,0.870,,,,,,,,,16D22,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F50,1,6,D,22,,-0.04,-0.08,0.24,-0.06,0.04,0.25,0.07
F51,1,20,fudan,,9/1/2020,UIUC tested,Sector 1-12,K,,,,,,HS,,,,,,,,,,,,,,8/20/2020,,,8/20/2020,,,,,,,,,,AW,0,AW,9.73,20200930,2674,,,100.22,,,,,,100.3,102.25,99.7,98.65,,,,,,,,,1.413,,,,,,,,,13D20,,,,5aa,5aa,5aa,5aa,5aa,,,FALSE,FALSE,5a,F51,1,3,D,20,,-0.04,-0.16,0.14,-0.09,-0.09,0.13,0.01
F52,2,20,fudan,,9/1/2020,UIUC tested,Sector 1-12,K,,,,,,HS,,,,,,,,,,,,,,8/20/2020,,,8/20/2020,,,,,,,,,,AW,0,AW,9.56,20200930,2665,,,99.89,,,,,,99.85,100,100,99.7,,,,,,,,,1.055,,,,,,,,,13A20,,,,5aa,5aa,5aa,5aa,5aa,,,FALSE,FALSE,5a,F52,1,3,A,20,,-0.06,-0.15,0.11,-0.12,-0.13,0.08,0.03
F53,3,20,fudan,,9/1/2020,UIUC tested,Sector 1-12,K,,,,,,HS,,,,,,,,,,,,,,8/20/2020,,,8/20/2020,,,,,,,,,,AW,0,AW,9.47,20200930,2669,,,100.04,,,,,,99.85,100.45,98.95,100.9,,,,,,,,,2.130,,,,,,,,,13B20,,,,5a,5aa,5a,5aa,5aa,,,FALSE,FALSE,5a,F53,1,3,B,20,,-0.05,-0.26,0.24,-0.01,-0.33,0.16,0.02
F54,4,20,fudan,,9/1/2020,UIUC tested,Sector 1-12,K,,,,,,HS,,,,,,,,,,,,,,8/20/2020,,,8/20/2020,,,,,,,,,,AW,0,AW,9.90,20200930,2664,,,99.85,,,,,,99.4,99.7,100.3,100,,,,,,,,,1.397,,,,,,,,,13C20,,,,5a,5aa,5a,5aa,5aa,,,FALSE,FALSE,5a,F54,1,3,C,20,,-0.08,-0.26,-0.03,-0.09,-0.2,0.15,-0.04
F55,3,21,fudan,,9/1/2020,UIUC tested,Sector 1-12,K,,,,,,HS,,,,,,,,,,,,,,8/20/2020,,,8/20/2020,,,,,,,,,,AW,0,AW,9.26,20200930,2667,,,99.96,,,,,,100.15,99.7,100,100,,,,,,,,,1.990,,,,,,,,,13B21,,,,5aa,5aa,5aa,5aa,5aa,,,FALSE,FALSE,5a,F55,1,3,B,21,,-0.04,-0.06,0.16,-0.2,-0.23,0.03,-0.12
F56,,21,,,11/28/2020,,,K,,,,,,HS,,,,,,,,,,,,,,10/20/2020,,,10/20/2020,,,,,,,,,,,0,,9.34,,2662,,,99.78,,,,,,100.15,99.1,99.7,99.85,,,,,,,,,1.130,,,,,,,,,17B21,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F56,1,7,B,21,,0.01,-0.07,0.08,0.22,0.05,0.18,0.18
F57,4,21,fudan,,9/1/2020,UIUC tested,Sector 1-12,K,,,,,,HS,,,,,,,,,,,,,,8/20/2020,,,8/20/2020,,,,,,,,,,AW,0,AW,9.73,20200930,2664,,,99.85,,,,,,99.4,104.2,96.55,99.25,,,,,,,,,1.886,,,,,,,,,13C21,,,,5a,5aa,5aa,5aa,5a,,,FALSE,FALSE,5a,F57,1,3,C,21,,-0.1,-0.22,0.05,-0.06,-0.1,0.14,-0.15
F58,5,21,fudan,,9/1/2020,UIUC tested,Sector 1-12,K,,,,,,HS,,,,,,,,,,,,,,8/20/2020,,,8/20/2020,,,,,,,,,,AW,0,AW,9.29,20200930,2667,,,99.96,,,,,,99.7,98.2,100.3,101.65,,,,,,,,,1.590,,,,,,,,,13D21,,,,5aa,5aa,5aa,5aa,5aa,,,FALSE,FALSE,5a,F58,1,3,D,21,,-0.1,-0.18,0.05,-0.19,-0.14,0.04,-0.17
F59,,21,,,11/28/2020,,,K,,,,,,HS,,,,,,,,,,,,,,10/18/2020,,,10/18/2020,,,,,,,,,,,0,,9.44,,2668,,,100.00,,,,,,102.25,101.95,97.75,97.9,,,,,,,,,0.960,,,,,,,,,16B21,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F59,1,6,B,21,,0.08,-0.09,0.18,-0.01,0.12,0.2,0.02
F60,3,19,fudan,,9/1/2020,UIUC tested,Sector 1-12,K,,,,,,HS,,,,,,,,,,,,,,8/20/2020,,,8/20/2020,,,,,,,,,,AW,0,AW,9.59,20200930,2664,,,99.85,,,,,,100.15,100.3,99.7,99.25,,,,,,,,,1.593,,,,,,,,,13A19,,,,5a,5aa,5a,5aa,5aa,,,FALSE,FALSE,5a,F60,1,3,A,19,,-0.03,-0.31,0.04,-0.19,-0.12,0.13,-0.08
F61,4,19,fudan,,9/1/2020,UIUC tested; chipped edges,Sector 1-12,K,,,,,,HS,,,,,,,,,,,,,,7/23/2020,,,7/23/2020,,,,,,,,,,AW,0,AW,9.66,20200930,2663,,,99.81,,,,,,100.3,99.55,98.8,100.45,,,,,,,,,1.144,,,,,,,,,13B19,,,,5aa,5aa,5aa,5aa,5aa,,,FALSE,FALSE,5a,F61,1,3,B,19,,-0.01,-0.17,0.14,-0.04,-0.16,0.04,-0.14
