 DBN,Don't edit Block occurance,BL,Status,BNL shipment,Shipping date,Comment,Sector,Fiber type,Fiber batch,Filling time (h),FF date,Filled by,Checked by,W powder,W bucket number,Mold number,Empty mold (g),Filled mold (g),W filling mass (g),fibers loaded by,W filling date,W filled by,Epoxy batch,Resin mass (g),Hardener mass (g),potting notes,Epoxy filling time (min),Epoxy filling date,Epoxy preparer,Delta Mach-Pot,Machining date,Machined by,L (in),BT (in),BB (in),BH (in),ST (in),SB (in),SH (in),Volume (mL),Measured by,Mass (g),Measured by,Density(g/mL),Tested on,# Fibers N,Good end,ABS N-W (%),# Fibers / # Holes (%),10-15(%),15-50(%),50-75(%),r75 (%),R,T1(BL) Fiber %,T2(BR) Fiber %,T3(TL) Fiber %,T4(TR) Fiber %, missing row?,13 connected holes?,FOM_N,FOM_I,Tested by,Tested on,Scintillation (mV),Calibration (mV),Ratio (Calibrated Twice),Tested by,Tested on,Natural Pictures,Tested by,Retouch,Density Result Checked?,Light Checked?,Natural Pictures checked?,Sector ID (SSBBR),LT M/D/YYYY,Days Mach-LT,Scint M/D/YYYY,Block Grade,De,Di,LT,LTQ,Vi,Sci,Pic,X,LT-all,DBN,S-left,S-right,column,row,relative W weight,Δ(L) [mm],Δ(BT) [mm],Δ(BB) [mm],Δ(BH) [mm],Δ(ST) [mm],Δ(SB) [mm],Δ(SH) [mm]
3224,11,17,7,29,12/8/2020,,17,SG47,36-C,1.00,5/29/2020,Erin,Saad,HCS,HCS-54,6,1175,4930,3755,SA,11/18/2020,SA,9,110,25,d40g,2.5,11/18/2020,SA,6,11/24/2020,AW,5.2240,2.0800,2.0160,2.1660,1.8700,1.8050,1.9960,346.9,AW,3188,AW,9.19,20201124,2652,W,0.5622,99.40,0.0000,0.8296,4.6003,5.4,0.143,99.7001,99.1004,99.7001,99.1004,N,N,,,Mason,20201125,398.504,283.049,1.408,Mason,20201125,20201202,Zander,,Adin,Adin,Mina,17C17,11/25/2020,1,11/25/2020,5a,5a,5a,5a,5a,5a,5a,1,1,5a,3224,1,7,C,17,1.006,0,-0.127,-0.2286,-0.0508,0,-0.254,0.1778
3225,12,17,7,34,2/16/2021,,25,SG47,36-C,1.00,5/29/2020,Erin,Saad,HCS,HCS-61,7,1170,4765,3595,SA,1/21/2021,JL,9,110,25,d40g,2,1/21/2021,ET,18,2/8/2021,AW,5.2190,2.0600,2.0130,2.1600,1.8490,1.8090,1.9890,343.7,AW,3066,AW,8.92,20210208,2615,W,2.9235,98.01,0.3824,4.1300,6.1568,10.7,0.214,95.952,97.901,99.8501,98.3508,N,N,,,Zander,20210208,106.893,66.0415,1.619,Vrishin,20210209.1,20210208,Zander,,Adin,Mason,Mason,25C17,2/8/2021,0,2/9/2021,5b,5a,5b,5a,5b,5a,5a,1,1,5b,3225,2,5,C,17,0.964,-0.127,-0.635,-0.3048,-0.2032,-0.5334,-0.1524,0
3226,1,18,7,39,3/30/2021,,27,SG47,36-C,1.00,5/29/2020,Erin,Saad,HCS,HCS-67,7,1180,4905,3725,SA,2/26/2021,SA,9,110,25,d40g,2.5,2/26/2021,ET,25,3/23/2021,AW,5.2790,2.0680,2.0160,2.1540,1.8550,1.8050,1.9870,347.6,AW,3190,AW,9.18,20210323,2609,W,1.9865,97.79,0.4599,3.1430,9.3906,13.0,0.237,97.0015,98.3508,97.1514,98.6507,N,N,,,Zander,20210324,191.247,176.504,1.084,Mina,20210323.1,20210324,Zander,,Adin,Mason,Adin,27D18,3/24/2021,1,3/23/2021,5b,5a,5a,5b,5a,5a,5a,1,1,5b,3226,2,7,D,18,0.991,0,-0.4318,-0.1778,-0.2032,-0.4318,-0.254,-0.0508
3227,2,18,7,37,3/15/2021,,26,SG47,36-C,1.00,6/1/2020,Erin,Saad,HCS,HCS-64,6,1205,4645,3440,SA,2/10/2021,JL,9,110,25,d40g,1.5,2/10/2021,ET,12,2/22/2021,AW,5.2770,2.0750,2.0160,2.1490,1.8650,1.8100,1.9870,348.0,AW,3000,AW,8.62,20210222,2648,W,2.5113,99.25,0.1133,4.1918,8.1571,12.5,0.201,100.45,98.5007,99.1004,98.9505,N,N,,,Jerome,20210223.3,269.287,187.815,1.434,Vrishin,20210223,20210223.1,Jerome,,Adin,Mina,Zander,26A18,2/23/2021,1,2/23/2021,5c,5c,5a,5a,5a,5a,5a,1,1,5a,3227,2,6,A,18,0.915,-0.0508,-0.254,-0.1778,-0.3302,-0.1778,-0.127,-0.0508
3228,3,18,8,,,,,SG47,36-C,1.00,6/1/2020,Erin,Saad,HCS,HCS-71,6,1200,4985,3785,SA,3/18/2021,SA,10,110,25,d40g,2,3/18/2021,ET,23,4/10/2021,AW,5.2800,2.0550,2.0100,2.1610,1.8370,1.7830,1.9890,345.8,AW,3194,AW,9.24,20210410,2614,W,1.6866,97.98,0.1148,0.8034,3.0604,4.0,0.132,99.8501,99.2504,96.8516,95.952,Y,N,,,Zander,20210412.2,329.007,213.885,1.538,Erin,20210412,20210412,Mason,,Mason,Mason,Adin,,4/12/2021,2,4/12/2021,8,5a,5b,5b,5b,8,5a,1,1,8,3228,,,,,1.007,0.0254,-0.762,-0.3302,-0.0254,-0.889,-0.8128,0
3229,4,18,7,39,3/30/2021,,27,SG47,36-C,1.20,6/1/2020,Erin,Saad,HCS,HCS-65,7,1185,4910,3725,SA,2/12/2021,SA,9,110,25,d40g,2.5,2/12/2021,ET,19,3/3/2021,AW,5.2770,2.0620,2.0090,2.1530,1.8610,1.8080,1.9930,347.6,AW,3154,AW,9.07,20210303,2659,W,0.2249,99.66,0.0376,0.8274,3.7608,4.6,0.129,100.3,99.4003,98.2009,100.75,N,N,,,Mason,20210303.4,247.324,228.189,1.084,Mason,20210303.2,20210303,Mason,,Adin,Adin,Adin,27C18,3/3/2021,0,3/3/2021,5b,5a,5b,5a,5a,5a,5a,1,1,5a,3229,2,7,C,18,0.991,-0.0508,-0.5842,-0.3556,-0.2286,-0.2794,-0.1778,0.1016
3230,5,18,7,38,3/22/2021,,24,SG47,36-C,0.83,6/1/2020,Erin,Saad,HCS,HCS-66,7,1180,4920,3740,SA,2/17/2021,JL,9,110,25,d40g,2.5,2/17/2021,ET,14,3/3/2021,AW,5.2790,2.0700,2.0200,2.1580,1.8680,1.8110,1.9910,349.4,AW,3132,AW,8.96,20210303,2660,W,0.5997,99.70,0.0752,0.9399,3.3835,4.4,0.125,101.499,99.2504,99.1004,98.9505,N,N,,,Mason,20210303.4,222.691,228.189,0.976,Mason,20210303.2,20210303,Mason,,Adin,Adin,Adin,24A18,3/3/2021,0,3/3/2021,5a,5a,5a,5a,5a,5a,5a,1,1,5a,3230,2,4,A,18,0.995,0,-0.381,-0.0762,-0.1016,-0.1016,-0.1016,0.0508
3231,6,18,8,,,,,SG47,36-C,1.00,6/1/2020,Erin,Saad,HCS,HCS-70,6,1190,4995,3805,SA,3/11/2021,ET,10,110,25,d40g,1.5,3/11/2021,ET,26,4/6/2021,AW/LR,5.2770,2.0640,2.0080,2.1440,1.8590,1.8060,1.9900,346.5,AW/LR,3136,AW/LR,9.05,20210406,2633,W,0.8996,98.69,0.2279,0.6457,1.4812,2.4,0.110,99.7001,100,99.2504,95.8021,N,Y,,,Mina,20210407.2,203.527,161.274,1.262,Zander,20210407,20210406.2,Jerome,,Adin,Adin,Mina,,4/7/2021,1,4/7/2021,8,5a,5b,5a,5b,8,5a,1,1,8,3231,,,,,1.013,-0.0508,-0.5334,-0.381,-0.4572,-0.3302,-0.2286,0.0254
3232,7,18,7,38,3/22/2021,,25,SG47,36-C,1.33,6/1/2020,Sparsh,Saad,HCS,HCS-67,7,1180,4965,3785,SA,2/24/2021,JL,9,110,25,d40g,2,2/24/2021,ET,15,3/11/2021,AW,5.2270,2.0680,2.0180,2.1520,1.8650,1.8070,1.9860,344.5,AW,3206,AW,9.31,20210311,2627,W,1.8366,98.46,0.0761,2.3601,4.0731,6.5,0.171,100.15,98.5007,98.051,97.1514,N,N,,,Mason,20210312.1,267.076,216.929,1.231,Erin,20210312,20210312,Zander,,Adin,Adin,Adin,25D18,3/12/2021,1,3/12/2021,5b,5a,5b,5a,5a,5a,5a,1,1,5a,3232,2,5,D,18,1.007,-1.3208,-0.4318,-0.127,-0.254,-0.1778,-0.2032,-0.0762
3233,8,18,7,28,11/23/2020,,16,SG47,36-C,3.50,6/1/2020,Adin,Saad,HCS,HCS-52,7,1180,4840,3660,SA,11/9/2020,SA,8,110,25,d40g,1,11/10/2020,SA,9,11/19/2020,AW,5.2770,2.0750,2.0140,2.1500,1.8630,1.8110,1.9930,348.4,AW,3184,AW,9.14,20201119,2660,W,1.4242,99.70,0.0000,3.1203,6.6541,9.8,0.172,100,98.9505,100,99.8501,N,N,,,Erin,20201120,400.131,264.566,1.512,Erin,20201120,20201120,Erin,,Adin,Adin,Adin,16B18,11/20/2020,1,11/20/2020,5a,5a,5a,5a,5a,5a,5a,1,1,5a,3233,1,6,B,18,0.974,-0.0508,-0.254,-0.2286,-0.3048,-0.2286,-0.1016,0.1016
3234,9,18,7,35,2/23/2021,,22,SG47,36-C,1.50,6/1/2020,Sparsh,Saad,HCS,HCS-62,7,1180,4895,3715,SA,1/27/2021,JL,9,110,25,d40g,2,1/27/2021,ET,16,2/12/2021,AW,5.2770,2.0630,2.0150,2.1530,1.8570,1.8090,1.9930,347.8,AW,3120,AW,8.97,20210212,2601,W,5.5473,97.49,0.7689,3.6140,6.3822,10.8,0.206,98.051,95.2024,99.1004,97.6012,N,N,,,Zander,20210215.1,106.697,92.8583,1.149,Jerome,20210212.1,20210215,Zander,,Adin,Mason,Mason,22D18,2/15/2021,3,2/12/2021,5b,5a,5b,5b,5b,5a,5a,1,1,5b,3234,2,2,D,18,0.989,-0.0508,-0.5588,-0.2032,-0.2286,-0.381,-0.1524,0.1016
3235,10,18,7,35,2/23/2021,,23,SG47,36-C,1.00,6/1/2020,Erin,Saad,HCS,HCS-61,7,1170,4815,3645,JL,1/21/2021,JL,9,110,25,d40g,1.5,1/21/2021,ET,18,2/8/2021,AW,5.2750,2.0550,2.0110,2.1510,1.8380,1.8180,1.9870,346.1,AW,3076,AW,8.89,20210208,2629,N,0.2249,98.54,0.4945,1.7117,5.2872,7.5,0.161,99.1004,98.2009,97.901,98.9505,N,N,,,Zander,20210208,95.2015,66.0415,1.442,Vrishin,20210209.1,20210208,Zander,,Adin,Mason,Mason,23D18,2/8/2021,0,2/9/2021,5b,5a,5b,5a,5a,5a,5a,1,1,5a,3235,2,3,D,18,0.97,-0.1016,-0.762,-0.3048,-0.2794,-0.8636,0.0762,-0.0508
3236,11,18,7,39,3/30/2021,,27,SG47,36-C,1.00,6/2/2020,Erin,Saad,HCS,HCS-68,6,1200,4935,3735,SA,3/1/2021,JL,10,110,25,d40g,2,3/1/2021,ET,22,3/23/2021,AW,5.2800,2.0550,2.0150,2.1490,1.8410,1.8160,1.9780,345.7,AW,3060,AW,8.85,20210323,2631,W,2.0615,98.61,0.0380,0.5701,3.6868,4.3,0.131,97.4513,99.7001,99.4003,97.901,N,N,,,Zander,20210324,249.591,176.504,1.414,Mina,20210323.1,20210324,Zander,,Adin,Mason,Adin,27B18,3/24/2021,1,3/23/2021,5b,5a,5b,5a,5a,5a,5a,1,1,5a,3236,2,7,B,18,0.994,0.0254,-0.762,-0.2032,-0.3302,-0.7874,0.0254,-0.2794
3237,12,18,7,27,11/17/2020,,14,SG47,36-C,2.50,6/2/2020,Adin,Saad,HCS,HCS-51,6,1190,5135,3945,JT,10/28/2020,SA,8,110,25,d40g,1.5,10/28/2020,ET,9,11/6/2020,AW,5.2840,2.0860,2.0170,2.1540,1.8640,1.8080,1.9940,349.9,AW,3220,AW,9.20,20201106,2653,W,1.0495,99.44,0.2262,2.5254,5.9932,8.7,0.181,101.049,98.3508,99.1004,99.2504,N,N,,,Mason,20201110.1,345.555,251.105,1.376,Adin,20201110,20201111,Zander,,Adin,Zander,Mason,14A18,11/10/2020,4,11/10/2020,5a,5a,5a,5a,5a,5a,5a,1,1,5a,3237,1,4,A,18,1.05,0.127,0.0254,-0.1524,-0.2032,-0.2032,-0.1778,0.127
3238,13,18,7,30,1/4/2021,,17,SG47,36-C,0.83,6/2/2020,Erin,Caroline,HCS,HCS-54,7,1170,4935,3765,JT,11/18/2020,SA,9,110,25,d40g,2.5,11/18/2020,SA,7,11/25/2020,AW,5.2800,2.0790,2.0160,2.1530,1.8640,1.8050,1.9940,349.0,AW,3158,AW,9.05,20201125,2630,W,2.3238,98.58,0.1521,1.1027,5.5133,6.8,0.139,99.2504,97.1514,99.7001,98.2009,N,N,,,Erin,20201211.2,170.076,209.289,0.813,Adin,20201210.1,20201215,Zander,,Adin,Zander,Adin,17D18,12/11/2020,16,12/10/2020,5a,5a,5a,5a,5a,5a,5a,1,1,5a,3238,1,7,D,18,1.002,0.0254,-0.1524,-0.1778,-0.2286,-0.2032,-0.254,0.127
3239,14,18,7,38,3/22/2021,,25,SG47,36-C,0.83,6/2/2020,Erin,Saad,HCS,HCS-67,6,1195,4855,3660,SA,2/22/2021,JL,9,110,25,d40g,1.5,2/22/2021,ET,17,3/11/2021,AW,5.2780,2.0650,2.0150,2.1530,1.8590,1.8000,1.9890,347.4,AW,3048,AW,8.77,20210311,2629,W,2.0989,98.54,0.1141,1.5215,4.2602,5.9,0.148,99.5502,97.901,97.7511,98.9505,N,N,,,Mason,20210312.1,237.683,216.929,1.096,Erin,20210312,20210312,Zander,,Adin,Adin,Adin,25C18,3/12/2021,1,3/12/2021,5b,5b,5a,5a,5a,5a,5a,1,1,5a,3239,2,5,C,18,0.974,-0.0254,-0.508,-0.2032,-0.2286,-0.3302,-0.381,0
3240,15,18,7,25,10/26/2020,,13,SG47,36-C,1.50,6/2/2020,Sparsh,Saad,HCS,HCS-48,7,1175,5010,3835,SA,10/14/2020,SA,8,110,25,d40g,1.5,10/14/2020,ET,7,10/21/2020,AW,5.2780,2.0570,2.0060,2.1560,1.8600,1.8150,1.9980,348.2,AW,3184,AW,9.14,20201021,2650,W,0.5247,99.33,0.0377,0.5283,1.8491,2.4,0.107,101.349,97.6012,99.8501,98.5007,N,N,,,Erin,20201023,295.714,304.396,0.971,Erin,20201022,20201023,Erin,,Adin,Adin,Adin,13A18,10/23/2020,2,10/22/2020,5b,5a,5b,5a,5a,5a,5a,1,1,5a,3240,1,3,A,18,1.02,-0.0254,-0.7112,-0.4318,-0.1524,-0.3048,0,0.2286
3241,16,18,7,30,1/4/2021,PATCH JOB,17,SG47,36-C,1.33,6/3/2020,Sparsh,Saad,HCS,HCS-54,6,1195,4980,3785,SA,11/23/2020,SA,9,110,25,d40g,2.5,11/24/2020,ET,13,12/7/2020,AW,5.2710,2.0530,2.0040,2.1490,1.8440,1.8070,1.9880,345.1,AW,3144,AW,9.11,20201207,2651,W,2.6612,99.36,0.0377,1.3580,5.5074,6.9,0.150,99.5502,98.9505,99.8501,99.1004,N,N,,,Zander,20201209,380.654,292.358,1.302,Adin,20201208.1,20201209,Zander,,Adin,Adin,Adin,17A18,12/9/2020,2,12/8/2020,5b,5a,5b,5a,5a,5a,5a,1,1,5a,3241,1,7,A,18,1.007,-0.2032,-0.8128,-0.4826,-0.3302,-0.7112,-0.2032,-0.0254
3242,17,18,7,46,5/18/2021,double DBN alert - resolved,34,SG47,36-C,0.83,6/2/2020,Erin,Caroline,HCS,HCS-71,8,1150,4785,3635,SA,3/16/2021,SA,10,110,25,d40g,2,3/16/2021,ET,21,4/6/2021,AW/LR,5.2750,2.0650,2.0070,2.1510,1.8520,1.8110,1.9880,346.7,AW/LR,3160,AW/LR,9.11,20210406,2628,W,1.6866,98.50,0.2283,1.2557,3.5769,5.1,0.142,101.049,97.7511,97.0015,98.2009,N,N,,,Zander,20210412.1,149.014,95.0457,1.568,Vrishin,20210406.2,20210406.3,Jerome,,Adin,Mason,Mason,34C18,4/12/2021,6,4/6/2021,5a,5a,5a,5a,5a,5a,5a,1,1,5a,3242,3,4,C,18,0.967,-0.1016,-0.508,-0.4064,-0.2794,-0.508,-0.1016,-0.0254
3243,18,18,7,32,1/26/2021,,19,SG47,36-C,1.00,6/3/2020,Erin,Saad,HCS,HCS-58,5,1170,4855,3685,SA,12/30/2020,SA,9,110,25,d40g,2,1/5/2021,ET,8,1/13/2021,AW,5.2700,2.0600,2.0120,2.1520,1.8620,1.8060,1.9930,347.1,AW,3152,AW,9.08,20210113,2653,W,0.8996,99.44,0.0000,1.5454,4.8247,6.4,0.159,100.9,98.9505,98.9505,98.9505,N,N,,,Mason,20210114,247.177,232.54,1.063,Mason,20210114,20210114,Mason,,Adin,Adin,Adin,19D18,1/14/2021,1,1/14/2021,5b,5a,5b,5a,5a,5a,5a,1,1,5a,3243,1,9,D,18,0.981,-0.2286,-0.635,-0.2794,-0.254,-0.254,-0.2286,0.1016
3244,19,18,7,43,4/27/2021,,30,SG47,36-C,1.00,6/3/2020,Erin,Saad,HCS,HCS-76,9,1145,4825,3680,SA,4/15/2021,SA,10,110,25,d40g,1.5,4/15/2021,ET,7,4/22/2021,AW/LR,5.2750,2.0660,2.0210,2.1390,1.8410,1.8000,1.9860,345.2,LR,3152,LR,9.13,20210422,2653,W,1.6492,99.44,0.0377,2.1862,7.1994,9.4,0.182,99.8501,99.2504,99.5502,99.1004,N,N,,,Zander,20210426,408.155,244.767,1.668,Erin,20210423,20210426,Zander,,Adin,Saad,Adin,30B18,4/26/2021,4,4/23/2021,5b,5a,5b,5a,5a,5a,5a,1,1,5a,3244,3,0,B,18,0.979,-0.1016,-0.4826,-0.0508,-0.5842,-0.7874,-0.381,-0.0762
3245,20,18,7,29,12/8/2020,36-C & 37-A,17,SG47,36-C,0.75,6/3/2020,Erin,Saad,HCS,HCS-53,6,1195,4920,3725,SA,11/11/2020,SA,9,110,25,d40g,1.5,11/11/2020,SA,8,11/19/2020,AW,5.2780,2.0560,2.0100,2.1520,1.8510,1.8120,1.9950,347.3,AW,3126,AW,9.00,20201119,2658,W,0.9370,99.63,0.0000,3.0098,5.3047,8.3,0.163,100,99.4003,99.5502,99.5502,N,N,,,Erin,20201120,397.952,264.566,1.504,Erin,20201120,20201120,Erin,,Adin,Adin,Adin,17B18,11/20/2020,1,11/20/2020,5b,5a,5b,5a,5a,5a,5a,1,1,5a,3245,1,7,B,18,0.991,-0.0254,-0.7366,-0.3302,-0.254,-0.5334,-0.0762,0.1524
3246,21,18,7,31,1/11/2021,,18,SG47,37-A,0.83,6/3/2020,Erin,Saad,HCS,HCS-51,7,1175,4945,3770,SA,10/29/2020,SA,8,110,25,d40g,2,10/29/2020,ET,8,11/6/2020,AW,5.2820,2.0620,2.0150,2.1550,1.8420,1.8150,1.9950,348.1,AW,3194,AW,9.18,20201106,2649,W,0.7497,99.29,0.0378,2.1895,4.4923,6.7,0.166,99.7001,99.4003,98.3508,99.7001,N,N,,,Mason,20201110.1,351.059,251.105,1.398,Adin,20201110,20201111,Zander,,Adin,Zander,Mason,18B18,11/10/2020,4,11/10/2020,5b,5a,5b,5a,5a,5a,5a,1,1,5a,3246,1,8,B,18,1.003,0.0762,-0.5842,-0.2032,-0.1778,-0.762,0,0.1524
3247,22,18,8,,,DIED IN MACHINING ,,SG47,37-A,0.75,6/3/2020,Erin,Saad,HCS,HCS-63,6,1205,4915,3710,SA,2/4/2021,SA,9,110,25,d40g,2,2/4/2021,ET,8,2/12/2021,,,,,,,,,0.0,,,,#DIV/0!,,#NUM!,,,,,,,,,,,,,,,,,,#NUM!,#NUM!,,,,,,,,,,,,#NUM!,#NUM!,#NUM!,8,#DIV/0!,8,#N/A,#N/A,#N/A,#N/A,FALSE,FALSE,#N/A,3247,,,,,0.987,-134.0866,-52.959,-51.3842,-54.9148,-47.5488,-46.101,-50.5206
3248,23,18,7,37,3/15/2021,,24,SG47,37-A,1.50,6/3/2020,Sparsh,Saad,HCS,HCS-66,6,1195,4935,3740,SA,2/18/2021,ET,9,110,25,d40g,3,2/18/2021,ET,13,3/3/2021,AW,5.2780,2.0740,2.0150,2.1550,1.8700,1.8040,1.9900,348.7,AW,3150,AW,9.03,20210303,2634,W,0.7871,98.73,0.1139,0.6834,4.7456,5.5,0.141,101.199,98.5007,98.5007,96.7016,N,N,,,Mason,20210303.4,254.429,228.189,1.115,Mason,20210303.2,20210303,Mason,,Adin,Adin,Adin,24B18,3/3/2021,0,3/3/2021,5a,5a,5a,5a,5a,5a,5a,1,1,5a,3248,2,4,B,18,0.995,-0.0254,-0.2794,-0.2032,-0.1778,-0.0508,-0.2794,0.0254
3249,24,18,7,33,2/2/2021,,21,SG47,37-A,0.83,6/3/2020,Erin,Saad,HCS,HCS-60,7,1175,4600,3425,SA,1/15/2021,JL,9,110,25,d40g,1.5,1/19/2021,ET,7,1/26/2021,AW,5.2820,2.0660,2.0190,2.1500,1.8600,1.8150,1.9920,348.5,AW,3042,AW,8.73,20210126,2651,W,0.3373,99.36,0.2263,2.3765,6.1486,8.8,0.176,101.049,98.9505,97.3013,100.15,N,N,,,Mason,20210126.1,368.182,174.219,2.113,Mina,20210127,20210126,Mason,,Adin,Mina,Adin,21D18,1/26/2021,0,1/27/2021,5b,5b,5a,5a,5a,5a,5a,1,1,5a,3249,2,1,D,18,0.911,0.0762,-0.4826,-0.1016,-0.3048,-0.3048,0,0.0762
3250,25,18,7,40,4/6/2021,,31,SG47,37-A,2.00,6/3/2020,Sparsh,Saad,HCS,HCS-70,7,1180,4865,3685,SA,3/11/2021,ET,10,110,25,d40g,2,3/11/2021,ET,19,3/30/2021,AW,5.2800,2.0620,2.0180,2.1500,1.8510,1.8040,1.9860,346.8,AW,3122,AW,9.00,20210330,2650,W,1.0494,99.33,0.0377,1.4717,6.9057,8.4,0.173,99.4003,99.4003,99.4003,99.1004,N,N,,,Mason,20210330.2,219.321,161.918,1.355,Zander,20210331,20210330,Jerome,,Mason,Adin,Mason,31D18,3/30/2021,0,3/31/2021,5b,5a,5b,5a,5a,5a,5a,1,1,5a,3250,3,1,D,18,0.981,0.0254,-0.5842,-0.127,-0.3048,-0.5334,-0.2794,-0.0762
3251,26,18,8,,,PATCH JOB,,SG47,37-A,1.00,6/3/2020,Erin,Saad,HCS,HCS-77,7,1185,4920,3735,SA,4/19/2021,SA,10,110,25,d40g,2,4/19/2021,ET,17,5/6/2021,AW,5.2600,2.0600,2.0000,2.1280,1.8400,1.7810,1.9770,340.5,AW,3082,AW,9.05,20210506,2558,W,1.8366,95.88,0.4300,2.8147,6.8413,10.1,0.194,97.1514,96.5517,93.1034,96.7016,N,N,,,Zander,20210507.1,319.782,201.579,1.586,Erin,20210507,20210507,Zander,,Mason,Mason,Jerome,,5/7/2021,1,5/7/2021,8,5a,5b,8,5c,5a,5a,1,1,8,3251,,,,,0.994,-0.4826,-0.635,-0.5842,-0.8636,-0.8128,-0.8636,-0.3048
3252,27,18,7,37,3/15/2021,,24,SG47,37-A,0.83,6/4/2020,Erin,Saad,HCS,HCS-63,6,1200,5015,3815,SA,2/2/2021,SA,9,110,25,d40g,4,2/2/2021,ET,37,3/11/2021,AW,5.2780,2.0920,2.0130,2.1590,1.8900,1.8040,1.9910,350.7,AW,3240,AW,9.24,20210311,2621,W,1.2744,98.24,0.0382,1.0301,4.5784,5.6,0.149,100,99.1004,97.901,95.952,N,N,,,Mason,20210312.1,249.625,216.929,1.151,Erin,20210312,20210312,Zander,,Adin,Adin,Adin,24C18,3/12/2021,1,3/12/2021,5b,5a,5a,5a,5b,5a,5a,1,1,5b,3252,2,4,C,18,1.015,-0.0254,0.1778,-0.254,-0.0762,0.4572,-0.2794,0.0508
3253,28,18,7,27,11/17/2020,,14,SG47,37-A,0.83,6/4/2020,Erin,Saad,HCS,HCS-51,6,1195,4955,3760,SA,10/30/2020,SA,8,110,25,d40g,1.5,10/30/2020,ET,7,11/6/2020,AW,5.2860,2.0680,2.0250,2.1520,1.8500,1.8100,1.9940,348.8,AW,3194,AW,9.16,20201106,2649,W,0.8996,99.29,0.0378,1.8498,4.7943,6.7,0.158,100.6,98.8006,98.6507,99.1004,N,N,,,Mason,20201110.1,350.936,251.105,1.398,Adin,20201110,20201111,Zander,,Adin,Zander,Mason,14B18,11/10/2020,4,11/10/2020,5b,5a,5b,5a,5a,5a,5a,1,1,5a,3253,1,4,B,18,1.001,0.1778,-0.4318,0.0508,-0.254,-0.5588,-0.127,0.127
3254,29,18,7,64,9/22/2021,needs patch,,SG47,37-A,0.75,6/4/2020,Erin,Saad,HCS,HCS-72,7,1190,5075,3885,SA,3/25/2021,ET,10,110,25,d40g,2.5,3/25/2021,ET,175,9/16/2021,AW/LR,5.2050,2.0980,2.0130,2.1370,1.8560,1.7870,1.9780,341.0,AW,3108,AW,9.11,20210916,2592,W,3.1859,97.15,0.1543,4.4367,9.8765,14.5,0.221,98.8006,99.1004,93.7031,97.0015,N,N,,,LucasT,20210917,84.1494,82.6617,1.018,Erin,20210916.1,20210916,Erin,,Mason/Erin,EricH,EricH,,9/17/2021,1,9/16/2021,5b,5a,5b,5b,5c,5a,5a,1,1,5b,3254,,,,,1.034,-1.8796,0.3302,-0.254,-0.635,-0.4064,-0.7112,-0.2794
3255,30,18,7,39,3/30/2021,,27,SG47,37-A,1.00,6/4/2020,Erin,Saad,HCS,HCS-69,6,1200,4970,3770,SA,3/4/2021,SA,10,110,25,d40g,2,3/4/2021,ET,19,3/23/2021,AW,5.2780,2.0650,2.0150,2.1520,1.8400,1.7860,1.9850,345.5,AW,3140,AW,9.09,20210323,2638,W,1.9491,98.88,0.0758,0.7961,3.8666,4.7,0.132,101.199,97.901,99.8501,96.5517,N,N,,,Zander,20210324,261.483,176.504,1.481,Mina,20210323.1,20210324,Zander,,Adin,Mason,Adin,27A18,3/24/2021,1,3/23/2021,5b,5a,5b,5a,5a,5a,5a,1,1,5a,3255,2,7,A,18,1.003,-0.0254,-0.508,-0.2032,-0.254,-0.8128,-0.7366,-0.1016
3256,31,18,7,40,4/6/2021,,31,SG47,37-A,1.75,6/4/2020,Sparsh,Saad,HCS,HCS-68,7,1185,5170,3985,SA,3/3/2021,JL,10,110,25,d40g,2,3/3/2021,ET,20,3/30/2021,AW,5.2800,2.0640,2.0160,2.1590,1.8530,1.8100,1.9860,348.0,AW,3188,AW,9.16,20210330,2656,W,0.4123,99.55,0.1130,0.4142,3.7274,4.3,0.135,101.199,100,98.5007,98.5007,N,N,,,Mason,20210330.2,215.211,161.918,1.329,Zander,20210331,20210330,Jerome,,Mason,Adin,Mason,31C18,3/30/2021,7,3/31/2021,5b,5a,5b,5a,5a,5a,5a,1,1,5a,3256,3,1,C,18,1.06,0.0254,-0.5334,-0.1778,-0.0762,-0.4826,-0.127,-0.0762
3257,32,18,7,40,4/6/2021,,26,SG47,37-A,1.00,6/4/2020,Erin,Saad,HCS,HCS-69,7,1190,4865,3675,SA,3/5/2021,ET,10,110,25,d40g,2,3/5/2021,ET,25,3/30/2021,AW,5.2800,2.0630,2.0120,2.1590,1.8510,1.8030,1.9880,347.5,AW,3128,AW,9.00,20210330,2656,W,1.5742,99.55,0.1506,0.8660,3.8027,4.8,0.141,101.199,98.5007,99.4003,99.1004,N,N,,,Mason,20210330.2,225.341,161.918,1.392,Zander,20210331,20210330,Jerome,,Mason,Adin,Mason,26B18,3/30/2021,0,3/31/2021,5b,5a,5b,5a,5a,5a,5a,1,1,5a,3257,2,6,B,18,0.978,0.0254,-0.5588,-0.2794,-0.0762,-0.5334,-0.3048,-0.0254
