sector, block, dbn, mpv, mpv_err, ch0_mpv, ch0_mpv_err, ch1_mpv, ch1_mpv_err, ch2_mpv, ch2_mpv_err, ch3_mpv, ch3_mpv_err
2, 74, 523, 293.716635, 13.858882, 311.399297, 12.509818, 300.895426, 14.763986, 269.874171, 14.799402, 292.697645, 13.362324
2, 75, 516, 241.250395, 18.178091, 230.027157, 12.012498, 173.824484, 38.470987, 269.502861, 11.677293, 291.647079, 10.551587
2, 76, 514, 198.315941, 11.921909, , , , , 194.857209, 10.826208, 201.774673, 13.017610
2, 77, 549, 346.990249, 9.538236, 387.801883, 10.384618, 306.178615, 8.691854, , , , 
2, 78, 550, 351.086079, 15.716121, 374.414623, 18.225532, 340.452768, 11.900286, 352.781434, 15.169904, 336.695489, 17.568763
2, 79, 541, 249.964095, 11.687895, 259.040283, 14.014788, 245.590052, 9.445886, 264.000436, 12.390319, 231.225609, 10.900588
2, 80, 558, 280.116054, 12.057663, , , , , 299.185098, 9.989418, 261.047009, 14.125908
2, 81, 1390, 304.784105, 4.407586, 328.169515, 4.989081, 281.398696, 3.826092, , , , 
2, 82, 569, 289.838782, 4.852230, 317.241856, 5.791351, 319.032291, 5.885930, 242.240363, 4.222780, 280.840619, 3.508861
2, 83, 563, 244.318953, 5.505379, 255.905118, 4.690520, 230.769061, 4.646177, 249.158008, 5.686855, 241.443625, 6.997963
2, 84, 570, 328.495486, 5.780525, , , , , 361.512719, 5.588997, 295.478253, 5.972052
2, 85, 589, 223.875889, 5.331418, 204.431435, 4.728490, 243.320343, 5.934346, , , , 
2, 86, 683, 275.262096, 4.590946, 282.418753, 4.618624, 265.841086, 5.253377, 268.767391, 4.731437, 284.021154, 3.760347
2, 87, 592, 294.905413, 4.819567, 279.762691, 3.869441, 277.160329, 4.645929, 340.242293, 5.898579, 282.456339, 4.864318
2, 88, 649, 316.392716, 4.951456, , , , , 319.069413, 4.231033, 313.716019, 5.671879
2, 89, 628, 248.545460, 5.935886, 265.937020, 5.579982, 231.153900, 6.291790, , , , 
2, 90, 638, 304.557997, 6.981095, 269.210152, 8.909235, 300.778339, 4.979064, 326.431278, 6.771175, 321.812220, 7.264908
