DBN, MPV
1409, 360.533756
1411, 367.326148
1407, 330.493156
1335, 319.307556
1290, 384.091448
1408, 371.807659
1404, 349.341425
1358, 354.449812
1355, 293.235757
1443, 321.394328
281, 304.181207
1440, 299.327675
1277, 288.850144
1249, 284.510136
1453, 251.984434
1452, 292.857333
1451, 245.038646
1223, 294.312206
1449, 280.150209
1448, 240.931061
1447, 271.275402
1527, 258.809041
1422, 229.648244
1414, 283.070904
1558, 250.989558
1436, 256.619237
1431, 197.859503
1142, 256.716370
1434, 299.611497
1120, 275.663784
1456, 261.664983
1457, 270.779196
1461, 336.224917
1465, 194.896981
1464, 222.459740
1467, 152.643277
1093, 214.514274
1048, 300.224245
1471, 221.097259
389, 247.693703
1472, 246.297571
1480, 237.529527
1475, 213.394647
1477, 261.250497
1024, 189.399644
1482, 276.782989
974, 285.103328
1483, 293.885470
1485, 279.073660
955, 239.058064
1486, 308.487853
1497, 245.415982
1491, 226.592586
903, 349.145237
1551, 203.976538
1380, 246.589277
909, 191.293298
1493, 253.638625
1381, 239.629234
1382, 338.039497
1494, 246.348685
864, 226.078411
1547, 363.667438
1383, 266.033653
1549, 362.758700
1500, 342.544853
1503, 250.940402
1502, 426.294321
1504, 208.772422
525, 214.604690
1553, 330.383043
1388, 182.385838
1554, 329.442589
1556, 257.683810
1559, 299.519162
626, 274.141622
1557, 225.060007
567, 328.884492
1509, 270.651479
1514, 532.011466
F11, 293.071386
1522, 249.398476
1525, 289.104191
1523, 271.881554
1526, 201.211997
614, 223.853773
668, 343.374003
1533, 241.203694
1532, 267.810368
1542, 233.051787
1544, 197.300883
1541, 283.529517
2001, 302.871627
2012, 272.479288
2011, 288.385492
2010, 236.562185
2008, 331.144470
2022, 291.121235
2018, 287.166694
2017, 278.080652
2016, 301.551846
2698, 292.789833
2689, 282.311616
2663, 264.794256
2653, 262.829199
2734, 270.513663
2726, 293.192302
2712, 279.181420
2707, 240.579233
2790, 299.986020
2785, 292.751392
2766, 254.939670
2758, 308.203126
2852, 258.483800
2844, 287.599432
2825, 230.725022
1419, 315.544372
2901, 263.896394
2889, 309.665530
2883, 307.477489
2882, 185.822560
2951, 256.213004
2946, 319.013344
2938, 273.256270
2937, 285.641233
3014, 263.540619
2999, 274.098907
2986, 238.104200
2973, 234.411513
3044, 317.216225
3057, 271.917793
3064, 307.071536
3053, 280.912233
3117, 257.760858
3110, 271.453439
3108, 288.257581
3072, 271.811318
3151, 289.072447
3141, 279.027587
3136, 268.841712
3153, 291.381557
3183, 276.263837
3178, 265.840073
3177, 257.146888
3175, 254.083323
3201, 292.384272
3519, 288.428134
3550, 243.459348
3191, 316.977391
3498, 307.290419
3511, 300.069464
3507, 290.445071
1495, 289.830891
3372, 312.425243
3371, 300.086910
3221, 225.532263
3394, 297.827987
3267, 307.076165
3271, 321.360789
3268, 299.951527
3240, 464.073917
F111, 381.248255
F104, 355.079043
F61, 439.941823
F60, 450.996678
F51, 449.135755
F54, 435.303145
F53, 428.266484
F52, 436.392257
F58, 438.295432
F57, 447.593041
F55, 473.129474
F38, 467.150988
F45, 429.030483
F69, 429.807638
F68, 302.555781
F30, 402.339013
F71, 450.752195
F70, 401.849229
F47, 456.242346
F72, 448.585801
F64, 501.618762
F49, 471.386882
F65, 446.538433
2014, 287.933488
2006, 304.742790
2002, 257.476717
214, 309.072822
2026, 287.296074
2020, 294.735404
2019, 351.222760
2015, 259.048787
2061, 356.383447
2029, 334.472717
2028, 327.901813
2027, 349.585214
2691, 326.540176
2677, 306.549422
2675, 321.128157
2700, 312.902053
2750, 329.151646
2746, 331.433716
2737, 315.102392
2729, 285.942989
2791, 339.652618
2756, 289.040606
2754, 323.379647
2793, 311.163102
2855, 301.615806
2831, 332.417658
2826, 295.146740
2812, 288.052193
2881, 309.493455
2880, 331.759922
2875, 347.819454
2876, 335.676995
2955, 335.415164
2950, 316.843065
2943, 287.483954
2926, 327.234889
2989, 305.733683
2984, 356.329337
2982, 412.508608
2987, 349.072231
3052, 359.392671
3049, 329.549512
3042, 308.918917
3028, 329.064968
3099, 355.735567
3092, 341.318780
3089, 337.759673
3096, 304.048026
3143, 353.717058
3142, 304.811303
3129, 328.108644
3164, 266.188960
3635, 315.891111
3181, 290.646211
3179, 257.623216
3176, 296.137927
3591, 276.456847
3551, 281.122574
3535, 314.175532
3531, 318.635085
3205, 337.005691
3481, 352.255492
3428, 316.738281
3212, 276.398843
3396, 333.714499
3379, 315.330097
3359, 310.267559
3331, 352.179012
3290, 383.988210
3282, 346.035017
3253, 320.230721
3237, 343.056233
F150, 460.886310
F100, 462.245614
F89, 445.848932
F82, 461.087365
F140, 504.265615
F148, 437.454002
F144, 386.130692
F37, 402.267188
F163, 453.910256
F160, 411.620863
F88, 452.682552
F80, 511.862190
F133, 444.481616
F129, 494.725394
F93, 279.209861
F28, 442.484890
F180, 453.573116
F179, 441.672155
F113, 302.648763
F77, 240.411961
2013, 277.451074
2025, 308.696865
2030, 253.385841
2032, 218.568435
2062, 340.933487
2063, 257.998552
2064, 269.909095
2066, 287.490643
2070, 351.157332
2071, 374.510620
2021, 287.172589
2651, 310.851581
2656, 326.532996
2662, 320.378447
2699, 298.657356
2718, 254.395176
2727, 289.368585
2730, 322.050526
2744, 341.293826
2781, 309.034210
2765, 312.810076
2786, 372.048912
2799, 285.346423
2878, 281.568355
2837, 272.487374
2854, 301.570338
2846, 334.821475
2872, 307.585868
2885, 321.314304
2869, 322.803956
2866, 292.671383
2919, 295.603631
2924, 301.078213
2931, 279.141117
2936, 326.323466
2970, 272.443450
2991, 335.137695
3013, 327.973874
2997, 292.558933
3065, 343.630237
3050, 328.214433
3061, 301.210438
3068, 291.856608
3091, 276.853229
3074, 318.826785
3076, 334.908714
3115, 287.090869
3145, 317.685789
3161, 287.331093
3173, 308.177307
3126, 304.315966
3185, 316.803533
3186, 404.476722
3189, 337.281243
3187, 335.639764
3571, 301.989560
3592, 349.445455
3576, 312.215385
3558, 322.509469
3485, 355.573885
3494, 321.828653
3490, 325.578527
3491, 341.255694
3421, 367.641212
3367, 391.206164
3410, 306.273374
3415, 360.516295
3283, 394.209015
3293, 372.564396
3300, 371.297660
3305, 502.158815
F31, 503.684720
F101, 483.005299
F103, 571.139199
F152, 532.278007
F137, 486.378499
F142, 564.232592
F143, 531.174391
F146, 455.962217
F75, 529.812015
F85, 498.315570
F159, 533.128170
F161, 534.098666
F90, 541.613547
F92, 440.032254
F96, 471.743104
F128, 445.571517
F63, 447.536721
F112, 546.744535
F116, 505.961367
F120, 495.871223
F122, 460.230693
F40, 380.053293
F193, 378.461263
2056, 262.982408
2052, 255.934022
2040, 353.670137
2065, 268.819420
2049, 264.299312
2042, 250.452228
2037, 315.336146
F23, 4.537086
F106, 366.213592
F105, 354.231805
F59, 293.903102
F26, 351.496720
F50, 136.540000
F21, 226.603998
F34, 400.358495
F95, 404.938314
F97, 467.081291
F118, 449.269797
F46, 489.450400
F99, 426.878416
F44, 330.075798
F74, 423.151120
F29, 438.696816
2041, 239.259450
2043, 284.239001
2048, 347.473580
2060, 321.842719
2095, 290.284218
2139, 255.345697
2141, 302.970527
2146, 322.030154
2152, 327.250806
2687, 300.998457
2682, 302.311051
2670, 286.531954
2664, 336.937606
4146, 288.398653
2713, 285.125345
2702, 285.743122
2701, 316.679600
2796, 329.997571
2764, 265.335713
4104, 278.364833
4100, 344.005574
4051, 323.961136
4049, 325.539654
2836, 342.461284
2835, 340.300531
4004, 358.071441
3953, 373.758831
3961, 323.508273
2861, 302.983402
2962, 330.360544
2913, 339.822857
2925, 334.628432
3945, 337.288976
3868, 362.604084
3859, 309.720971
3010, 334.121992
2994, 325.418951
3822, 354.128122
3066, 325.180977
3035, 340.232818
3017, 317.086081
3111, 355.477414
3792, 323.379652
3073, 319.868825
3118, 282.847529
3154, 293.940067
3124, 311.481070
3132, 294.316784
3122, 308.207148
3627, 305.113769
3618, 274.539346
3616, 291.245246
3188, 302.822897
3198, 316.013587
3195, 264.834650
3190, 284.314738
3194, 340.459687
3484, 312.492260
3466, 304.619953
3444, 237.821216
3207, 320.208925
3404, 332.209195
