,,,Vop,,,,,,,,,,,,,,,,,,
count,DAQ Channel,Interface Brd #,Sector 1,Sector 2,Sector 3,Sector 4,Sector 5,Sector 6,Sector 7,Sector 8,Sector 9,Sector 10,Sector 11,Sector 12,Sector 13,Sector 14,Sector 15,Sector 16,Sector 17,Sector 18,Sector 19
,,,,,,,,,,,,OK,,,,,,OK,,,
60,123,1,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
61,124,1,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.03,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
62,125,1,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.03,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
63,126,1,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.03,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
64,127,1,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.03,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
1,128,2,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
2,129,2,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
3,130,2,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
4,131,2,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
5,132,2,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
6,133,2,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
7,134,2,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
8,135,2,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
9,136,2,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
10,137,2,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
11,138,2,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
12,139,2,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
13,140,2,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
14,141,2,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
15,142,2,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
16,143,2,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
17,144,2,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
18,145,2,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
19,146,2,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
20,147,2,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
21,148,2,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
22,149,2,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
23,150,2,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
