channel_num, sp_gap, chisqr/ndf, gauss1 mean, gauss1 ampl, gauss1 sigma, gauss2 ampl, gauss2 sigma, gauss3 ampl, gauss3 sigma, gauss4 ampl, gauss4 sigma, gauss5 ampl, gauss5 sigma, landau ampl, landau mpv, landau sigma
17, 27.281113, 55.253560, 32.071294, 10306.232989, 5.182375, 2660.901525, 6.596716, 158.414782, 7.920832, 158.414782, 7.920832, 0.000000, 0.000000, 139196.395558, 7.368989, 2.565020
18, 28.256390, 35.663206, 32.190409, 11334.361196, 5.628257, 3085.156934, 7.352103, 202.286726, 8.255717, 202.286726, 8.255717, 0.000000, 0.000000, 116847.327450, 7.777248, 2.729504
19, 26.924363, 25.046627, 31.283770, 11563.856464, 6.023659, 3570.903469, 7.343708, 260.763319, 8.263635, 260.763319, 8.263635, 0.000000, 0.000000, 107255.666432, 7.536826, 2.700857
20, 24.942381, 24.024619, 30.280904, 11598.244903, 5.904426, 3484.188554, 6.537708, 163.081127, 8.092118, 163.081127, 8.092118, 0.000000, 0.000000, 108623.664089, 8.072887, 2.915360
21, 24.768096, 23.271505, 29.962638, 12034.578504, 6.373744, 4063.568787, 6.546682, 240.941227, 8.269019, 240.941227, 8.269019, 0.000000, 0.000000, 95977.418551, 7.985255, 2.896093
22, 24.882226, 20.073059, 29.016831, 10798.299576, 5.604795, 3030.689444, 6.263325, 96.274707, 8.066650, 96.274707, 8.066650, 0.000000, 0.000000, 120132.412127, 8.116589, 2.939442
23, 25.176529, 20.631948, 29.853682, 11635.464577, 5.935575, 3470.012672, 6.670974, 174.036467, 8.073875, 174.036467, 8.073875, 0.000000, 51542036849557107371641009566037083268475382095135941931951507800325514375058517830669097638501702863388493731680358219394805388102571325335850127762407280345088.000000, 109939.015327, 7.849343, 2.850608
24, 28.696490, 87.601875, 32.985414, 8921.660276, 4.937101, 2125.760751, 6.340192, 116.066781, 5.343872, 116.066781, 5.343872, 0.000000, 0.000000, 158579.077003, 7.424163, 2.513562
25, 27.662184, 82.789595, 33.192908, 8188.552948, 4.632426, 1878.892473, 5.664691, 96.983004, 3.794549, 96.983004, 3.794549, 0.000000, 0.000000, 155173.214014, 8.037012, 2.747718
26, 28.359478, 39.236856, 32.703627, 10819.865774, 5.494752, 2909.651156, 7.421512, 189.958615, 8.435045, 189.958615, 8.435045, 0.000000, 0.000000, 121734.697112, 7.830053, 2.746527
27, 27.541646, 70.355786, 31.398827, 9055.046934, 4.768357, 2175.770449, 6.038553, 106.371696, 4.792630, 106.371696, 4.792630, 0.000000, 0.000000, 159045.528168, 7.400920, 2.541671
28, 27.014018, 51.351052, 32.234117, 9727.042165, 5.294655, 2636.584887, 6.778911, 127.769145, 8.348565, 127.769145, 8.348565, 0.000000, 0.000000, 139565.162121, 7.655375, 2.658523
29, 27.855039, 73.937801, 32.710076, 9154.490713, 4.962753, 2149.296942, 6.342249, 106.470833, 5.570255, 106.470833, 5.570255, 0.000000, 0.000000, 152827.179738, 7.566565, 2.598517
30, 28.937426, 85.479253, 32.780235, 8392.068406, 4.867037, 1964.301333, 6.205635, 91.180559, 4.273659, 91.180559, 4.273659, 0.000000, 0.000000, 162847.634700, 7.542147, 2.554546
31, 28.357289, 87.664545, 32.694793, 8946.215805, 4.819005, 2060.741350, 6.084809, 84.704089, 5.004515, 84.704089, 5.004515, 0.000000, 0.000000, 161422.546900, 7.456733, 2.525873
32, 28.360146, 70.102284, 33.472106, 9351.339979, 5.337370, 2375.825502, 6.697873, 139.985777, 7.838008, 139.985777, 7.838008, 0.000000, 0.000000, 144291.464636, 7.530093, 2.571318
33, 28.136511, 47.534655, 32.557809, 10716.816992, 5.436467, 2934.669341, 7.164844, 209.103210, 8.149412, 209.103210, 8.149412, 0.000000, 0.000000, 125780.997564, 7.486917, 2.631209
34, 28.816009, 48.906798, 33.057300, 10363.165059, 5.418325, 2761.794196, 7.201038, 190.683032, 8.556306, 190.683032, 8.556306, 0.000000, 0.000000, 126617.977522, 7.731795, 2.702962
